FCFS Simulation Log
Date: Tue Dec  9 06:18:32 2025
Time Limit: 1000 ms
Books: 71, Members: 20
Action 526: AT=198.50 ms, Type=APPROVE
Action 527: AT=199.30 ms, Type=ISSUE
Action 528: AT=199.30 ms, Type=APPROVE
Action 529: AT=199.90 ms, Type=ISSUE
Action 530: AT=199.90 ms, Type=REQUEST
Action 531: AT=199.90 ms, Type=ISSUE
Action 532: AT=200.40 ms, Type=APPROVE
Action 533: AT=200.40 ms, Type=ISSUE
Action 534: AT=200.40 ms, Type=APPROVE
Action 535: AT=201.20 ms, Type=RETURN
Action 536: AT=201.20 ms, Type=REQUEST
Action 537: AT=202.00 ms, Type=APPROVE
Action 538: AT=203.00 ms, Type=RETURN
Action 539: AT=203.00 ms, Type=ISSUE
Action 540: AT=203.90 ms, Type=ISSUE
Action 541: AT=203.90 ms, Type=APPROVE
Action 542: AT=203.90 ms, Type=APPROVE
Action 543: AT=204.80 ms, Type=ISSUE
Action 544: AT=204.80 ms, Type=APPROVE
Action 545: AT=204.80 ms, Type=RETURN
Action 546: AT=205.50 ms, Type=ISSUE
Action 547: AT=206.50 ms, Type=ISSUE
Action 548: AT=206.50 ms, Type=ISSUE
Action 549: AT=207.20 ms, Type=RETURN
Action 550: AT=207.20 ms, Type=APPROVE
Action 551: AT=207.20 ms, Type=ISSUE
Action 552: AT=208.00 ms, Type=RETURN
Action 553: AT=208.70 ms, Type=RETURN
Action 554: AT=208.70 ms, Type=APPROVE
Action 555: AT=209.70 ms, Type=REQUEST
Action 556: AT=210.60 ms, Type=RETURN
Action 557: AT=211.40 ms, Type=RETURN
Action 558: AT=211.90 ms, Type=RETURN
Action 559: AT=211.90 ms, Type=ISSUE
Action 560: AT=212.90 ms, Type=ISSUE
Action 561: AT=212.90 ms, Type=REQUEST
Action 562: AT=212.90 ms, Type=REQUEST
Action 563: AT=213.70 ms, Type=RETURN
Action 564: AT=213.70 ms, Type=ISSUE
Action 565: AT=213.70 ms, Type=APPROVE
Action 566: AT=214.70 ms, Type=ISSUE
Action 567: AT=215.40 ms, Type=REQUEST
Action 568: AT=215.40 ms, Type=RETURN
Action 569: AT=215.40 ms, Type=APPROVE
Action 570: AT=216.00 ms, Type=RETURN
Action 571: AT=216.00 ms, Type=ISSUE
Action 572: AT=216.50 ms, Type=REQUEST
Action 573: AT=216.50 ms, Type=REQUEST
Action 574: AT=216.50 ms, Type=APPROVE
